#           i(Rsh.Xcel i(Rsh.Xcel v(Vbias)   i(Vbias)   v(5)       v(1)      
 4.6416E+3 -425.11E-6  413.15E-6  0.090043   4.2574     2.0636     0.41273   
 10.E+3    -197.42E-6  413.36E-6  0.090043   4.2572     2.0647     0.41294   
 1.        -0.04297    29.119E-6  0.10004    4.3        0.14344    0.028689  
 2.1544    -0.042958   39.035E-6  0.10004    4.3        0.19302    0.038605  
 4.6416    -0.042935   60.382E-6  0.10004    4.2999     0.29976    0.059952  
 10.       -0.042878   106.28E-6  0.10004    4.2999     0.52926    0.10585   
 21.544    -0.042603   204.1E-6   0.10004    4.2996     1.0183     0.20367   
 46.416    -0.035105   346.41E-6  0.10004    4.2921     1.7299     0.34598   
 100.      -0.018544   391.4E-6   0.10004    4.2755     1.9548     0.39097   
 215.44    -0.0089101  404.44E-6  0.10004    4.2659     2.0201     0.40402   
 464.16    -0.0041904  409.53E-6  0.10004    4.2612     2.0455     0.4091    
 1.E+3     -0.001956   411.72E-6  0.10004    4.259      2.0565     0.41129   
 2.1544E+3 -910.18E-6  412.7E-6   0.10004    4.2579     2.0614     0.41228   
 4.6416E+3 -422.95E-6  413.15E-6  0.10004    4.2574     2.0636     0.41273   
 10.E+3    -196.42E-6  413.36E-6  0.10004    4.2572     2.0647     0.41294   
 1.        -0.042968   31.118E-6  0.11004    4.3        0.15344    0.030688  
 2.1544    -0.042956   41.034E-6  0.11004    4.3        0.20302    0.040604  
 4.6416    -0.042933   62.38E-6   0.11004    4.2999     0.30975    0.06195   
 10.       -0.042875   108.28E-6  0.11004    4.2999     0.53923    0.10785   
 21.544    -0.042591   206.05E-6  0.11004    4.2996     1.0281     0.20562   
 46.416    -0.034966   347.12E-6  0.11004    4.292      1.7335     0.34669   
 100.      -0.018451   391.55E-6  0.11004    4.2755     1.9556     0.39112   
 215.44    -0.0088649  404.5E-6   0.11004    4.2659     2.0203     0.40407   
 464.16    -0.0041691  409.55E-6  0.11004    4.2612     2.0456     0.40912   
 1.E+3     -0.001946   411.73E-6  0.11004    4.2589     2.0565     0.4113    
 2.1544E+3 -905.55E-6  412.71E-6  0.11004    4.2579     2.0614     0.41228   
 4.6416E+3 -420.8E-6   413.16E-6  0.11004    4.2574     2.0637     0.41273   
 10.E+3    -195.42E-6  413.36E-6  0.11004    4.2572     2.0647     0.41294   
 1.        -0.042966   33.118E-6  0.12004    4.3        0.16344    0.032688  
 2.1544    -0.042954   43.033E-6  0.12004    4.3        0.21301    0.042603  
 4.6416    -0.04293    64.378E-6  0.12004    4.2999     0.31974    0.063948  
 10.       -0.042873   110.27E-6  0.12004    4.2999     0.5492     0.10984   
 21.544    -0.042579   207.99E-6  0.12004    4.2996     1.0378     0.20756   
 46.416    -0.034826   347.82E-6  0.12004    4.2918     1.7369     0.34739   
 100.      -0.018359   391.69E-6  0.12004    4.2754     1.9563     0.39127   
 215.44    -0.0088197  404.55E-6  0.12004    4.2658     2.0206     0.40412   
 464.16    -0.0041478  409.57E-6  0.12004    4.2611     2.0457     0.40914   
 1.E+3     -0.0019361  411.74E-6  0.12004    4.2589     2.0566     0.41131   
 2.1544E+3 -900.92E-6  412.71E-6  0.12004    4.2579     2.0614     0.41229   
 4.6416E+3 -418.65E-6  413.16E-6  0.12004    4.2574     2.0637     0.41273   
 10.E+3    -194.42E-6  413.36E-6  0.12004    4.2572     2.0647     0.41294   
 1.        -0.042964   35.117E-6  0.13004    4.3        0.17344    0.034687  
